origen,detla_boric,delta_kast,delta_nulos,delta_blancos,delta_no,com_clust
sichel_pv,0.2349515938082629,0.765048434807154,0.0,0.0,0.0,2101
nulos_pv,0.9999999637197798,2.0052763259574823e-8,7.490375284225141e-9,1.0093052647294015e-8,0.0,2101
blanco_pv,0.3976141846319216,2.0063448456370252e-7,0.6023854879713944,1.2438565588030544e-7,2.3765437368605417e-9,2101
noVoto_pv,0.024800240088987804,0.1385319605367905,0.004065613411123516,0.0017177523428067638,0.8308844336202914,7
boric_pv,1.0000000390215373,0.0,0.0,0.0,0.0,7
kast_pv,0.0,1.0000000397295685,0.0,0.0,0.0,7
provoste_pv,0.8334372652538578,0.16645240686439458,0.00011034077624559572,0.0,0.0,7
artes_pv,1.0000000182051616,0.0,0.0,0.0,0.0,7
meo_pv,0.9116868379757878,0.08831317540508797,0.0,0.0,0.0,7
parisi_pv,0.7372780022245422,0.21467993112246175,0.0333266553377131,0.00947377544593016,0.0052416358693527995,7
sichel_pv,0.0,1.0000000383650913,0.0,0.0,0.0,7
nulos_pv,0.6739111730867205,0.0,0.018924804874078386,5.533692772072062e-9,0.3071640234113449,7
blanco_pv,0.7531648384967866,5.321488756229347e-9,0.06477709342770012,0.08212672678055062,0.09993133597347392,7
noVoto_pv,0.04664632425485085,0.112714735099667,0.0029981391256371946,0.0010338389515272025,0.8366069625683177,19
boric_pv,1.0000000398011812,0.0,0.0,0.0,0.0,19
kast_pv,0.0,1.0000000398799904,0.0,0.0,0.0,19
provoste_pv,0.866204789028432,0.1337952402594451,0.0,0.0,0.0,19
artes_pv,1.000000031379374,0.0,0.0,0.0,0.0,19
meo_pv,1.00000003652607,0.0,0.0,0.0,0.0,19
parisi_pv,0.9063916870659224,0.05142633498561826,0.02808657233118753,0.007399513470168492,0.00669589214710318,19
sichel_pv,0.041071692440810416,0.9589283367329241,0.0,0.0,0.0,19
nulos_pv,0.2319918896990537,0.5933479291764848,0.15714089778027499,0.017519282750393727,5.937927998276804e-10,19
blanco_pv,0.10208240212447207,0.8141814352121994,4.370547174680835e-8,0.08373608897272464,2.9985132008735996e-8,19
noVoto_pv,0.06635446775970884,0.11076634905886017,0.0038157020303260254,0.0013410091654168152,0.8177224719856881,30
boric_pv,1.000000039846531,0.0,0.0,0.0,0.0,30
kast_pv,0.0,1.0000000398469764,0.0,0.0,0.0,30
provoste_pv,0.6839376695846141,0.31606235825147816,0.0,0.0,0.0,30
artes_pv,1.0000000358459284,0.0,0.0,0.0,0.0,30
meo_pv,1.0000000374768876,0.0,0.0,0.0,0.0,30
parisi_pv,0.5288045737853159,0.2071038243635181,0.013471156732239763,0.005674781719624296,0.24494566339930196,30
sichel_pv,0.4505688294181004,0.549431200018878,0.0,0.0,0.0,30
nulos_pv,0.4056889775397447,0.33969318897868084,0.1568654916214898,0.03658923326321959,0.06116310859686492,30
blanco_pv,7.785509349966915e-9,0.17527722757556574,0.0921696996766293,0.05505175283801319,0.6775013121242826,30
noVoto_pv,0.07978929321841295,0.10462426046947546,0.004861801104205308,0.002231285398465749,0.8084933598094406,18
boric_pv,1.000000039850308,0.0,0.0,0.0,0.0,18
kast_pv,0.0,1.000000039866011,0.0,0.0,0.0,18
provoste_pv,0.6415965614205325,0.358403464242031,0.0,0.0,0.0,18
artes_pv,1.000000036943108,0.0,0.0,0.0,0.0,18
meo_pv,1.0000000393303974,0.0,0.0,0.0,0.0,18
parisi_pv,0.7163994944028239,0.08173007420591655,0.02125712252285796,0.0036830080642909395,0.1769303008041107,18
sichel_pv,0.28886903602934305,0.7111309934982191,0.0,0.0,0.0,18
nulos_pv,0.8558563093701367,0.12506228963857316,0.01908140305739695,5.2816457474160864e-9,0.0,18
blanco_pv,0.07293160603637451,0.15792657751080993,0.0010880637954838613,0.008838728484251622,0.7592150241730801,18
noVoto_pv,0.05782348490198428,0.08927453486587178,0.0055422611526666134,0.0019003597489667375,0.8454593593305106,8110
boric_pv,1.0000000387582395,0.0,0.0,0.0,0.0,8110
kast_pv,0.004440080211628207,0.9955599487680907,0.0,0.0,0.0,8110
provoste_pv,0.8003224592762679,0.19967756804235343,0.0,0.0,0.0,8110
artes_pv,0.9758503716298754,0.02414962641737337,4.530713438268023e-9,3.7121306918598156e-9,0.0,8110
meo_pv,0.7502913611102894,0.2497086633523614,0.0,0.0,0.0,8110
parisi_pv,0.690972446202764,0.2164315207067664,0.02183773006686938,0.00417118410627121,0.06658711891732912,8110
sichel_pv,0.2524465229361807,0.7475535036754736,0.0,0.0,0.0,8110
nulos_pv,0.8440757671117252,0.15592421999151487,1.40942908995359e-8,4.7267392291562334e-9,0.0,8110
