origen,detla_boric,delta_kast,delta_nulos,delta_blancos,delta_no,distrito
parisi_pv,0.7595967417388102,0.11726732287962352,0.02451743726564289,2.8400689933117515e-8,0.09861846971523347,4
sichel_pv,0.08092802457569152,0.9190720015797247,0.0,0.0,0.0,4
nulos_pv,0.49501457100716534,0.40396247417012854,0.07524228032761128,1.5376548897137577e-7,0.025780520729605894,4
blanco_pv,0.43685136465858904,0.4558268132734253,0.012407683255053656,0.09491400075722758,1.3805570427726444e-7,4
noVoto_pv,0.06854405190143066,0.022566850282872277,0.004150351610078062,0.002280543484231122,0.902458202721388,27
boric_pv,1.000000038069693,0.0,0.0,0.0,0.0,27
kast_pv,0.0,1.0000000361651566,0.0,0.0,0.0,27
provoste_pv,0.6588876066019879,0.34111241990941643,0.0,0.0,0.0,27
artes_pv,0.808136124003497,0.19186387918572181,1.0623324172444327e-9,2.2148092271866167e-9,0.0,27
meo_pv,0.8303702189319832,0.16962980350629964,0.0,0.0,0.0,27
parisi_pv,0.9568373453002599,0.04316268142738695,0.0,0.0,0.0,27
sichel_pv,0.05330147196774677,0.9466985539576912,0.0,0.0,0.0,27
nulos_pv,0.34249036087574697,0.40206270850693093,0.22912151979934142,0.026325348909257064,6.190872359850308e-8,27
blanco_pv,0.6431830888602804,0.3568168875547368,1.1020317763458417e-8,1.5744646665146465e-8,0.0,27
noVoto_pv,0.048354451544092604,0.03886799611863633,0.007392896179968818,0.0019657994947091,0.9034188566625933,28
boric_pv,1.0000000384784598,0.0,0.0,0.0,0.0,28
kast_pv,0.0,1.0000000384076213,0.0,0.0,0.0,28
provoste_pv,0.7517291868583406,0.24827084022363738,0.0,0.0,0.0,28
artes_pv,0.8054574519282044,0.19454255520733538,1.1835414298816038e-9,0.0,0.0,28
meo_pv,0.8738221908922947,0.12617783725420148,0.0,0.0,0.0,28
parisi_pv,0.9452708570012681,0.054729171640876005,0.0,0.0,0.0,28
sichel_pv,0.27754198871117913,0.7224580384112452,0.0,0.0,0.0,28
nulos_pv,0.999999933869983,5.894079079182369e-8,1.1692158928586087e-8,2.1739194358855907e-9,0.0,28
blanco_pv,0.999999742474956,1.0865363401941533e-7,8.354084036641549e-8,6.07184693499238e-8,4.612100002651194e-9,28
noVoto_pv,0.12773860302346607,0.07445548549627601,0.007480249020538178,0.00230690399368778,0.788018758466032,8
boric_pv,1.0000000399668718,0.0,0.0,0.0,0.0,8
kast_pv,0.0,1.000000039876787,0.0,0.0,0.0,8
provoste_pv,0.7987442655535424,0.20125576412097387,0.0,0.0,0.0,8
artes_pv,1.00000003943459,0.0,0.0,0.0,0.0,8
meo_pv,1.000000039669411,0.0,0.0,0.0,0.0,8
parisi_pv,0.996905481540154,0.003094548188394931,0.0,0.0,0.0,8
sichel_pv,0.09785163692744539,0.9021483927415435,0.0,0.0,0.0,8
nulos_pv,0.28119301684748543,0.09371759997736083,0.0190869875982635,0.002378484453446361,0.6036239111234439,8
blanco_pv,0.16100037737930012,0.048584845281319296,0.015537952727608734,0.00606685398415812,0.7688099706276138,8
noVoto_pv,0.06205154947462251,0.06128269110648442,0.008083318670888646,0.003684602077744361,0.8648978386702602,10
boric_pv,1.000000039964115,0.0,0.0,0.0,0.0,10
kast_pv,0.0,1.000000039838283,0.0,0.0,0.0,10
provoste_pv,0.9667195825014575,0.033280447362125994,0.0,0.0,0.0,10
artes_pv,1.0000000392874981,0.0,0.0,0.0,0.0,10
meo_pv,1.000000039794481,0.0,0.0,0.0,0.0,10
parisi_pv,1.0000000397854447,0.0,0.0,0.0,0.0,10
sichel_pv,0.18318948507017654,0.8168105447696231,0.0,0.0,0.0,10
nulos_pv,0.6173603326030486,0.32467125916356415,0.05796841891608618,0.0,0.0,10
blanco_pv,0.9056338831839332,0.094366140484975,0.0,0.0,0.0,10
noVoto_pv,0.10886923880878044,0.06650790013197035,0.006889821056851117,0.002313545080468728,0.8154194949219293,9
boric_pv,1.0000000398473334,0.0,0.0,0.0,0.0,9
kast_pv,0.0,1.0000000395579514,0.0,0.0,0.0,9
provoste_pv,0.8153609058844626,0.18463912374097716,0.0,0.0,0.0,9
artes_pv,1.0000000378248768,0.0,0.0,0.0,0.0,9
meo_pv,0.9917286909630574,0.008271338709885659,0.0,0.0,0.0,9
parisi_pv,1.0000000394809154,0.0,0.0,0.0,0.0,9
sichel_pv,0.18289946055295334,0.8171005690323174,0.0,0.0,0.0,9
nulos_pv,0.14923251819905836,0.09108694385875368,0.020230655233597575,0.0026499119875523307,0.7367999707210381,9
blanco_pv,0.8445813194513538,0.15541869861650479,0.0,0.0,0.0,9
noVoto_pv,0.10129267030329603,0.05336363123816252,0.0048838328246686635,0.0016049325755949214,0.8388549330582779,5
boric_pv,1.000000039730322,0.0,0.0,0.0,0.0,5
kast_pv,0.0,1.000000039652618,0.0,0.0,0.0,5
