detla_boric,delta_kast,delta_nulos,delta_blancos,delta_no,origen,distrito
0.0,951.0000163750137,0.0,0.0,0.0,blanco_pv,25
12640.6337732604,17583.692142073345,1308.9316827043874,543.8861295928215,215456.85627236904,noVoto_pv,26
38358.00152414132,0.0,0.0,0.0,0.0,boric_pv,26
0.0,52987.00210152146,0.0,0.0,0.0,kast_pv,26
20528.779162404004,3081.221492845857,0.0,0.0,0.0,provoste_pv,26
2445.0000845130426,0.0,0.0,0.0,0.0,artes_pv,26
8443.725848923896,1845.2744238682847,0.0,0.0,0.0,meo_pv,26
21990.231059994738,6272.769597897425,0.0,0.0,0.0,parisi_pv,26
2491.173957388208,15813.826556648017,0.0,0.0,0.0,sichel_pv,26
381.98446566780814,733.2813631415212,259.5293309491776,132.20466282088753,0.0001774206055641177,nulos_pv,26
